2017-01-26 22:28:16,797 DEBUG    version=v045-unified-16-gf17a658-dirty:simple-ff-ffv-adam-75-40-mintalklen-5-a
2017-01-26 22:28:16,797 INFO     Open DBase(data/db/all240302-spk.dat, data/db/all240302-spk.idx, mode='r')
2017-01-26 22:28:21,137 DEBUG    getting all bc uttids...configs/simple-ff-ffv-adam-75-40-mintalklen.json, train
2017-01-26 22:28:21,137 INFO     Open DBase(data/db/all240302-spk.dat, data/db/all240302-spk.idx, mode='r')
2017-01-26 22:30:03,544 DEBUG    extracting and saving data to data/cache/extract-1358e07da0daaaedda36d2aa18f36b9021bcd7d3bd6b830f8da29382cee07f91.pickle
2017-01-26 22:30:03,545 DEBUG    getting all bc uttids...configs/simple-ff-ffv-adam-75-40-mintalklen.json, validate
2017-01-26 22:30:12,937 DEBUG    getting all bc uttids...configs/simple-ff-ffv-adam-75-40-mintalklen.json, eval
2017-01-26 22:30:41,359 DEBUG    set input dim to 9
2017-01-26 22:30:41,359 DEBUG    input dim = 9
2017-01-26 22:30:41,368 DEBUG    shuffling batches
2017-01-26 22:30:44,601 DEBUG    shuffling done
2017-01-26 22:30:44,601 DEBUG    loading data into ram
2017-01-26 22:30:44,607 DEBUG    loading data took 0.005s (cpu: 0.005s)
2017-01-26 22:30:44,607 DEBUG    set input dim to 9
2017-01-26 22:30:44,607 DEBUG    input dim = 9
2017-01-26 22:30:44,624 DEBUG    shuffling batches
2017-01-26 22:30:45,013 DEBUG    shuffling done
2017-01-26 22:30:45,013 DEBUG    loading data into ram
2017-01-26 22:30:45,015 DEBUG    loading data took 0.001s (cpu: 0.001s)
2017-01-26 22:30:45,033 INFO     Training network with 30197 trainable out of 30197 total params.
2017-01-26 22:30:45,062 DEBUG    Using adam with learning_rate=0.001000
2017-01-26 22:30:46,194 DEBUG    Starting training...
2017-01-26 22:30:48,441 INFO     Saving network params to trainNN/out/v045-unified-16-gf17a658-dirty:simple-ff-ffv-adam-75-40-mintalklen-5-a/epoch-000.pkl
2017-01-26 22:30:48,558 INFO     epoch: 0 took 2.364s (0.001s in batching)
training loss:	0.646075
validation loss:	0.642109
validation error:	0.382345
2017-01-26 22:30:48,559 INFO     Wrote output to trainNN/out/v045-unified-16-gf17a658-dirty:simple-ff-ffv-adam-75-40-mintalklen-5-a/config.json
2017-01-26 22:30:51,066 INFO     Saving network params to trainNN/out/v045-unified-16-gf17a658-dirty:simple-ff-ffv-adam-75-40-mintalklen-5-a/epoch-001.pkl
2017-01-26 22:30:51,177 INFO     epoch: 1 took 2.619s (0.001s in batching)
training loss:	0.629611
validation loss:	0.632096
validation error:	0.370483
2017-01-26 22:30:51,177 INFO     Wrote output to trainNN/out/v045-unified-16-gf17a658-dirty:simple-ff-ffv-adam-75-40-mintalklen-5-a/config.json
2017-01-26 22:30:53,558 INFO     Saving network params to trainNN/out/v045-unified-16-gf17a658-dirty:simple-ff-ffv-adam-75-40-mintalklen-5-a/epoch-002.pkl
2017-01-26 22:30:53,832 INFO     epoch: 2 took 2.655s (0.001s in batching)
training loss:	0.622266
validation loss:	0.632868
validation error:	0.368920
2017-01-26 22:30:53,832 INFO     Wrote output to trainNN/out/v045-unified-16-gf17a658-dirty:simple-ff-ffv-adam-75-40-mintalklen-5-a/config.json
2017-01-26 22:30:56,287 INFO     Saving network params to trainNN/out/v045-unified-16-gf17a658-dirty:simple-ff-ffv-adam-75-40-mintalklen-5-a/epoch-003.pkl
2017-01-26 22:30:56,394 INFO     epoch: 3 took 2.563s (0.001s in batching)
training loss:	0.617271
validation loss:	0.632389
validation error:	0.363586
