aggregated	self	category	text
31.92%	31.92%	14319	b	uh-huh
61.08%	29.15%	13075	b	yeah
68.95%	7.87%	3532	b	right
71.73%	2.78%	1249	b	oh
73.69%	1.96%	877	b	[silence]
75.09%	1.40%	629	b	oh yeah
76.49%	1.40%	627	b	yes
77.84%	1.35%	607	b	okay
78.86%	1.02%	458	bk	okay
79.75%	0.89%	399	b	huh
80.57%	0.81%	364	b	sure
81.29%	0.72%	325	bk	oh okay
81.93%	0.64%	288	b	huh-uh
82.56%	0.63%	282	bh	oh really
83.15%	0.59%	264	ba	wow
83.73%	0.58%	259	b	um
84.16%	0.43%	193	bh	really
84.57%	0.41%	186	b	really
84.97%	0.39%	177	bk	oh
85.30%	0.34%	151	b	oh really
85.62%	0.31%	140	b	uh
85.91%	0.30%	134	b	oh okay
86.21%	0.29%	131	b	oh uh-huh
86.50%	0.29%	130	b^m	yeah
86.74%	0.24%	109	ba	that 's right
86.97%	0.23%	103	ba	oh no
87.19%	0.23%	101	ba	oh wow
87.41%	0.21%	96	b	no
87.61%	0.20%	91	ba	that 's great
87.81%	0.20%	90	ba	that 's good
88.01%	0.19%	87	ba	that 's true
88.18%	0.18%	79	b	yep
88.36%	0.18%	79	ba	
88.52%	0.17%	75	b	i see
88.69%	0.16%	73	ba	oh gosh
88.84%	0.16%	70	ba	i know
89.00%	0.15%	69	ba	oh my goodness
89.14%	0.14%	65	bh	is that right
89.28%	0.14%	63	b	well yeah
89.41%	0.13%	58	bk	oh i see
89.54%	0.13%	57	ba	great
89.66%	0.12%	54	ba	oh my
89.78%	0.12%	54	ba	oh yeah
89.90%	0.12%	53	ba	good
90.02%	0.12%	53	b	all right
90.13%	0.12%	52	ba	oh boy
90.25%	0.12%	52	bk	i see
90.36%	0.11%	51	ba	oh my gosh
90.47%	0.11%	49	b	oh i see
90.58%	0.11%	48	ba	gosh
90.68%	0.10%	47	b	uh yeah
90.78%	0.10%	43	b	oh yes
90.87%	0.09%	41	ba	oh great
90.95%	0.08%	36	ba	oh dear
91.03%	0.08%	35	bk	uh-huh
91.10%	0.08%	34	br	huh
91.18%	0.08%	34	bh	do you
91.25%	0.07%	32	ba	that 's interesting
91.32%	0.07%	31	bf	
91.39%	0.07%	31	ba	sure
91.46%	0.07%	30	ba	oh goodness
91.52%	0.06%	29	ba	well good
91.59%	0.06%	29	bh	oh yeah
91.65%	0.06%	29	b^m	no
91.71%	0.06%	28	br	what
91.77%	0.06%	27	bd	that 's okay
91.83%	0.06%	26	ba	oh good
91.89%	0.06%	26	ba	i understand
91.95%	0.06%	26	b	so yeah
92.00%	0.06%	25	ba	oh
92.06%	0.06%	25	b	um yeah
92.11%	0.06%	25	bk	yeah
92.17%	0.05%	24	ba	exactly
92.22%	0.05%	23	ba	you bet
92.27%	0.05%	23	ba	oh sure
92.32%	0.05%	23	ba	i bet
92.37%	0.05%	22	b^m	okay
92.42%	0.05%	21	bh	yeah
92.46%	0.05%	21	ba	there you go
92.51%	0.05%	21	bh	
92.56%	0.05%	21	ba	jeez
92.60%	0.05%	21	ba	my goodness
92.65%	0.04%	20	ba	boy
92.69%	0.04%	20	b^m	uh-huh
92.74%	0.04%	20	ba	ooh
92.78%	0.04%	20	bk	all right
92.83%	0.04%	20	b^m	
92.87%	0.04%	19	ba	that 's neat
92.91%	0.04%	19	ba	oh gee
92.95%	0.04%	18	ba	true
92.99%	0.04%	18	b	that 's right
93.03%	0.04%	18	br	pardon me
93.07%	0.04%	18	ba	oh my word
93.11%	0.04%	17	bk	
93.15%	0.04%	17	b	yeah uh
93.19%	0.04%	17	ba	that 's nice
93.22%	0.04%	17	b	you know
93.26%	0.04%	16	b	um uh-huh
93.30%	0.04%	16	bh	is it
93.33%	0.04%	16	bh	oh did you
93.37%	0.04%	16	ba	gee
93.40%	0.03%	15	ba	oh man
93.43%	0.03%	15	b	oh sure
93.47%	0.03%	15	ba	oh i know
93.50%	0.03%	15	bh	did you
93.53%	0.03%	15	br	pardon
93.57%	0.03%	15	b	oh right
93.60%	0.03%	15	bk	oh yeah
93.63%	0.03%	15	ba	that sounds good
93.67%	0.03%	15	ba	oh my god
93.70%	0.03%	15	ba	that 's funny
93.74%	0.03%	15	ba	that 's wonderful
93.77%	0.03%	14	ba	i can imagine
93.80%	0.03%	14	b	ooh
93.83%	0.03%	14	b	but yeah
93.86%	0.03%	14	ba	oh god
93.89%	0.03%	14	ba	oh yes
93.92%	0.03%	13	ba	oh how neat
93.95%	0.03%	13	br	what 's that
93.98%	0.03%	13	bh	are you
94.01%	0.03%	13	ba	golly
94.04%	0.03%	13	ba	i see
94.06%	0.03%	12	b	i know
94.09%	0.03%	12	b	well
94.12%	0.03%	12	ba	no kidding
94.14%	0.03%	12	b	oh well
94.17%	0.03%	12	ba	you 're kidding
94.20%	0.03%	12	ba	really
94.22%	0.02%	11	b	but uh yeah
94.25%	0.02%	11	b	uh uh-huh
94.27%	0.02%	11	ba	well great
94.29%	0.02%	11	bk	oh uh-huh
94.32%	0.02%	11	bh	oh do you
94.34%	0.02%	11	b	hm
94.37%	0.02%	10	b	oh oh
94.39%	0.02%	10	ba	oh i bet
94.41%	0.02%	10	ba	that is right
94.43%	0.02%	10	ba	goodness
94.46%	0.02%	10	ba	oh how nice
94.48%	0.02%	10	b	yeah um
94.50%	0.02%	10	bk	right
94.52%	0.02%	10	ba	wonderful
94.54%	0.02%	10	ba	that 's
94.57%	0.02%	10	ba	oh jeez
94.59%	0.02%	9	ba	hey
94.61%	0.02%	9	ba	god
94.63%	0.02%	9	br	
94.65%	0.02%	9	ba	good for you
94.67%	0.02%	9	b	um-hum
94.69%	0.02%	9	bd	no
94.71%	0.02%	9	ba	that sounds great
94.72%	0.02%	8	b	uh-uh
94.74%	0.02%	8	ba	i 'll bet
94.76%	0.02%	8	ba	i understand that
94.78%	0.02%	8	bh	oh are you
94.80%	0.02%	8	br	excuse me
94.81%	0.02%	8	ba	how funny
94.83%	0.02%	8	ba	my word
94.85%	0.02%	8	bh	was it
94.87%	0.02%	8	ba	i 'm sure
94.89%	0.02%	8	ba	ugh
94.90%	0.02%	8	ba	that 's amazing
94.92%	0.02%	8	bh	no
94.94%	0.02%	8	ba	interesting
94.95%	0.02%	7	ba	oh nice
94.97%	0.02%	7	ba	good grief
94.99%	0.02%	7	bh	oh you do
95.00%	0.02%	7	bh	oh you are
95.02%	0.02%	7	ba	oh that 's
95.03%	0.02%	7	ba	man
95.05%	0.02%	7	bh	oh have you
95.06%	0.02%	7	ba	how about that
95.08%	0.02%	7	bh	have you
95.10%	0.02%	7	ba	right
95.11%	0.02%	7	ba	oh neat
95.13%	0.02%	7	b	and yeah
95.14%	0.02%	7	ba	oh i see
95.16%	0.02%	7	ba	i know it
95.17%	0.02%	7	b	oh mumblex
95.19%	0.02%	7	ba	i imagine
95.20%	0.02%	7	ba	oh how funny
95.22%	0.02%	7	ba	oh wonderful
95.23%	0.01%	6	b	well okay
95.25%	0.01%	6	ba	all right
95.26%	0.01%	6	ba	oh lord
95.27%	0.01%	6	ba	yeah
95.29%	0.01%	6	bh	are they
95.30%	0.01%	6	b	but um yeah
95.31%	0.01%	6	b	ah
95.33%	0.01%	6	b	uh okay
95.34%	0.01%	6	b	uh-huh um
95.35%	0.01%	6	b^m	right
95.37%	0.01%	6	ba	very good
95.38%	0.01%	6	ba	that 's cool
95.39%	0.01%	6	b	huh yeah
95.41%	0.01%	6	bh	how about that
95.42%	0.01%	6	ba	how nice
95.43%	0.01%	6	ba	that 's awful
95.45%	0.01%	5	b	uh huh
95.46%	0.01%	5	b	and
95.47%	0.01%	5	b	oh no
95.48%	0.01%	5	b	uh oh
95.49%	0.01%	5	b	yeah well
95.50%	0.01%	5	bh	oh is it
95.51%	0.01%	5	bd	okay
95.52%	0.01%	5	bh	you do
95.53%	0.01%	5	b	um um
95.55%	0.01%	5	b	right uh
95.56%	0.01%	5	ba	cool
95.57%	0.01%	5	ba	definitely
95.58%	0.01%	5	ba	that sounds fun
95.59%	0.01%	5	ba	yes sir
95.60%	0.01%	5	b	mumblex yeah
95.61%	0.01%	5	ba	oh shoot
95.62%	0.01%	5	br	i 'm sorry
95.63%	0.01%	5	b	okay uh
95.65%	0.01%	5	b	uh yes
95.66%	0.01%	5	b	yeah you know
95.67%	0.01%	4	b	yeah oh
95.67%	0.01%	4	ba	that 's incredible
95.68%	0.01%	4	bk	oh yes
95.69%	0.01%	4	ba	that 's terrible
95.70%	0.01%	4	bh	you 're kidding
95.71%	0.01%	4	b	is that right
95.72%	0.01%	4	b^m	oh yeah
95.73%	0.01%	4	bh	oh do they
95.74%	0.01%	4	bk	ooh
95.75%	0.01%	4	bk	no
95.76%	0.01%	4	ba	that 's tough
95.76%	0.01%	4	ba	ouch
95.77%	0.01%	4	ba	how interesting
95.78%	0.01%	4	ba	it is
