2017-01-24 04:37:23,231 DEBUG    version=v043-unified:simple-ff-35-35
2017-01-24 04:37:23,951 INFO     Open DBase(data/db/all240302-spk.dat, data/db/all240302-spk.idx, mode='r')
2017-01-24 04:37:41,409 DEBUG    loading cached extracted data from data/cache/extract-563f0cfda2bc8b6a659563483d8ddca63a2cf90cdf00f9f7f789bf6027ccda0a.pickle
2017-01-24 04:37:42,889 DEBUG    set input dim to 2
2017-01-24 04:37:42,892 DEBUG    input dim = 2
2017-01-24 04:37:43,058 DEBUG    loading data into ram
2017-01-24 04:37:43,200 DEBUG    loading data took 0.142s (cpu: 0.139s
2017-01-24 04:37:43,733 DEBUG    set input dim to 2
2017-01-24 04:37:43,733 DEBUG    input dim = 2
2017-01-24 04:37:43,752 DEBUG    loading data into ram
2017-01-24 04:37:43,766 DEBUG    loading data took 0.014s (cpu: 0.014s
2017-01-24 04:37:43,804 INFO     Training network with 4167 trainable out of 4167 total params.
2017-01-24 04:37:43,835 DEBUG    Using sgd with learning_rate=0.700000
2017-01-24 04:38:23,729 INFO     Waiting for existing lock by process '21738' (I am process '21744')
2017-01-24 04:38:23,730 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:33,428 INFO     Waiting for existing lock by process '21738' (I am process '21744')
2017-01-24 04:38:33,429 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:39,440 INFO     Waiting for existing lock by process '21738' (I am process '21744')
2017-01-24 04:38:39,441 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:46,557 INFO     Waiting for existing lock by process '21738' (I am process '21744')
2017-01-24 04:38:46,558 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:54,625 INFO     Waiting for existing lock by process '21738' (I am process '21744')
2017-01-24 04:38:54,625 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
