2017-01-27 00:33:40,034 DEBUG    version=v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5
2017-01-27 00:33:40,036 INFO     Open DBase(data/db/all240302-spk.dat, data/db/all240302-spk.idx, mode='r')
2017-01-27 00:33:44,163 DEBUG    getting all bc uttids...configs/ff-ffv-dropout/ff-ffv-dropout-inp.2-75.5-40.5.json, train
2017-01-27 00:33:44,163 INFO     Open DBase(data/db/all240302-spk.dat, data/db/all240302-spk.idx, mode='r')
2017-01-27 00:33:50,936 DEBUG    loading cached extracted data from data/cache/extract-17095dffdd75068299ccb5dd895af8ecaa0fbe1575b09b5b1ad4e4febf4d84ae.pickle
2017-01-27 00:33:55,380 DEBUG    set input dim to 9
2017-01-27 00:33:55,380 DEBUG    input dim = 9
2017-01-27 00:33:55,462 DEBUG    shuffling batches
2017-01-27 00:34:29,186 DEBUG    shuffling done
2017-01-27 00:34:29,186 DEBUG    loading data into ram
2017-01-27 00:34:29,244 DEBUG    loading data took 0.058s (cpu: 0.058s)
2017-01-27 00:34:29,245 DEBUG    getting all bc uttids...configs/ff-ffv-dropout/ff-ffv-dropout-inp.2-75.5-40.5.json, validate
2017-01-27 00:34:29,470 DEBUG    set input dim to 9
2017-01-27 00:34:29,470 DEBUG    input dim = 9
2017-01-27 00:34:29,896 DEBUG    shuffling batches
2017-01-27 00:34:33,123 DEBUG    shuffling done
2017-01-27 00:34:33,123 DEBUG    loading data into ram
2017-01-27 00:34:33,129 DEBUG    loading data took 0.007s (cpu: 0.006s)
2017-01-27 00:34:34,633 INFO     Training network with 30197 trainable out of 30197 total params.
2017-01-27 00:34:34,670 DEBUG    Using adam with learning_rate=0.001000
2017-01-27 00:34:42,199 DEBUG    Starting training...
2017-01-27 00:34:53,735 INFO     Saving network params to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/epoch-000.pkl
2017-01-27 00:34:54,222 INFO     epoch: 0 took 12.023s (0.012s in batching)
training loss:	0.667151
validation loss:	0.662141
validation error:	0.386944
2017-01-27 00:34:54,222 INFO     Wrote output to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/config.json
2017-01-27 00:35:05,604 INFO     Saving network params to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/epoch-001.pkl
2017-01-27 00:35:06,074 INFO     epoch: 1 took 11.853s (0.009s in batching)
training loss:	0.661799
validation loss:	0.659338
validation error:	0.385120
2017-01-27 00:35:06,075 INFO     Wrote output to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/config.json
2017-01-27 00:35:17,417 INFO     Saving network params to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/epoch-002.pkl
2017-01-27 00:35:17,909 INFO     epoch: 2 took 11.835s (0.008s in batching)
training loss:	0.661345
validation loss:	0.660111
validation error:	0.382632
2017-01-27 00:35:17,910 INFO     Wrote output to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/config.json
2017-01-27 00:35:29,380 INFO     Saving network params to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/epoch-003.pkl
2017-01-27 00:35:29,860 INFO     epoch: 3 took 11.951s (0.009s in batching)
training loss:	0.661132
validation loss:	0.656153
validation error:	0.383475
2017-01-27 00:35:29,860 INFO     Wrote output to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/config.json
2017-01-27 00:35:41,183 INFO     Saving network params to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/epoch-004.pkl
2017-01-27 00:35:41,655 INFO     epoch: 4 took 11.795s (0.008s in batching)
training loss:	0.660672
validation loss:	0.661052
validation error:	0.381581
2017-01-27 00:35:41,655 INFO     Wrote output to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/config.json
2017-01-27 00:35:53,022 INFO     Saving network params to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/epoch-005.pkl
2017-01-27 00:35:53,617 INFO     epoch: 5 took 11.962s (0.008s in batching)
training loss:	0.660365
validation loss:	0.651913
validation error:	0.385333
2017-01-27 00:35:53,617 INFO     Wrote output to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/config.json
2017-01-27 00:36:05,775 INFO     Saving network params to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/epoch-006.pkl
2017-01-27 00:36:06,247 INFO     epoch: 6 took 12.630s (0.010s in batching)
training loss:	0.660490
validation loss:	0.655606
validation error:	0.382429
2017-01-27 00:36:06,248 INFO     Wrote output to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/config.json
2017-01-27 00:36:18,142 INFO     Saving network params to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/epoch-007.pkl
2017-01-27 00:36:18,609 INFO     epoch: 7 took 12.362s (0.009s in batching)
training loss:	0.660258
validation loss:	0.660956
validation error:	0.382528
2017-01-27 00:36:18,610 INFO     Wrote output to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/config.json
2017-01-27 00:36:29,984 INFO     Saving network params to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/epoch-008.pkl
2017-01-27 00:36:30,456 INFO     epoch: 8 took 11.847s (0.008s in batching)
training loss:	0.660180
validation loss:	0.659082
validation error:	0.382429
2017-01-27 00:36:30,457 INFO     Wrote output to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/config.json
2017-01-27 00:36:42,091 INFO     Saving network params to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/epoch-009.pkl
2017-01-27 00:36:42,558 INFO     epoch: 9 took 12.101s (0.009s in batching)
training loss:	0.659808
validation loss:	0.656038
validation error:	0.383301
2017-01-27 00:36:42,558 INFO     Wrote output to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/config.json
2017-01-27 00:36:54,549 INFO     Saving network params to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/epoch-010.pkl
2017-01-27 00:36:55,029 INFO     epoch: 10 took 12.471s (0.009s in batching)
training loss:	0.659725
validation loss:	0.657401
validation error:	0.383024
2017-01-27 00:36:55,029 INFO     Wrote output to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/config.json
2017-01-27 00:37:06,317 INFO     Saving network params to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/epoch-011.pkl
2017-01-27 00:37:06,780 INFO     epoch: 11 took 11.752s (0.008s in batching)
training loss:	0.659618
validation loss:	0.658482
validation error:	0.380005
2017-01-27 00:37:06,781 INFO     Wrote output to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/config.json
2017-01-27 00:37:18,292 INFO     Saving network params to trainNN/out/v045-unified-21-g6906991-dirty:ff-ffv-dropout-inp.2-75.5-40.5/epoch-012.pkl
2017-01-27 00:37:18,760 INFO     epoch: 12 took 11.979s (0.008s in batching)
training loss:	0.659435
validation loss:	0.655533
validation error:	0.379693
